Daily,Value
12-06-2022,14.48
12-07-2022,14.4
12-08-2022,14.32
12-09-2022,14.25
12-10-2022,14.17
12-11-2022,14.1
12-12-2022,14.05
12/13/2022,13.99
12/14/2022,13.93
12/15/2022,13.89
12/16/2022,13.82
12/17/2022,13.75
12/18/2022,13.69
12/19/2022,13.63
12/20/2022,13.57
12/21/2022,13.51
12/22/2022,13.46
12/23/2022,13.41
12/24/2022,13.36
12/25/2022,13.32
12/26/2022,13.28
12/27/2022,13.24
12/28/2022,13.21
12/29/2022,13.18
12/30/2022,13.15
12/31/2022,13.12
